region_name_1_20000,prefecture,region_name_10km,mesh_10km,number_of_factories,number_of_workers,shipment
横須賀,千葉,金束,523957,4,89,0
横須賀,神奈川,箱根,523960,8,90,60722
横須賀,神奈川,小田原南部,523961,43,554,520147
横須賀,神奈川,秋谷,523964,14,166,67452
横須賀,神奈川,浦賀,523965,147,4517,8125691
横須賀,千葉,上総湊,523966,1,23,0
横須賀,千葉,鬼泪山,523967,11,103,14790
横須賀,神奈川,関本,523970,45,4687,13466373
横須賀,神奈川,小田原北部,523971,338,13777,73529604
横須賀,神奈川,平塚,523972,99,2704,7316670
横須賀,神奈川,江の島,523973,60,2789,11020139
横須賀,神奈川,鎌倉,523974,86,2201,5790628
横須賀,神奈川,横須賀,523975,105,10586,61083553
横須賀,千葉,富津,523976,60,1885,7207470
横須賀,千葉,鹿野山,523977,39,829,631432
水戸,茨城,谷田部,544000,79,4754,22123232
水戸,茨城,土浦,544001,133,4320,10989869
水戸,茨城,木原,544002,40,2255,5828986
水戸,茨城,西蓮寺,544003,27,548,18821
水戸,茨城,武井,544004,50,1194,338163
水戸,茨城,荒野,544005,5,46,0
水戸,茨城,上郷,544010,67,2306,3939969
水戸,茨城,常陸藤沢,544011,129,13039,21716200
水戸,unknown_prefecture,unknown_name,544012,63,2738,10143323
水戸,茨城,常陸玉造,544013,60,1865,2096944
水戸,茨城,鉾田,544014,34,866,9413
水戸,茨城,筑波,544020,85,4187,15396712
水戸,茨城,柿岡,544021,30,586,237391
水戸,茨城,石岡,544022,185,8901,27721884
水戸,茨城,下吉影,544023,51,1385,1877602
水戸,茨城,徳宿,544024,17,343,0
水戸,茨城,真壁,544030,196,3431,4047182
水戸,茨城,加波山,544031,16,225,119925
水戸,茨城,岩間,544032,87,5014,10733199
水戸,茨城,小鶴,544033,82,2863,2068613
水戸,茨城,磯浜,544034,79,2281,3197772
水戸,茨城,岩瀬,544040,66,2260,4008655
水戸,茨城,羽黒,544041,88,1807,2249818
水戸,茨城,笠間,544042,84,2928,4096220
水戸,茨城,水戸,544043,173,3447,3058434
水戸,茨城,ひたちなか,544044,219,19294,63623857
水戸,栃木,真岡,544050,100,1999,1016962
水戸,栃木,中飯,544051,8,115,0
水戸,茨城,徳蔵,544052,24,724,304827
水戸,茨城,石塚,544053,50,2344,1700858
水戸,茨城,常陸久慈,544054,158,6314,12747221
水戸,茨城,日立南部/常陸久慈,544055,1,12,0
水戸,栃木,祖母井,544060,72,7019,18412562
水戸,栃木,茂木,544061,33,571,84309
水戸,茨城,野口,544062,25,707,638769
水戸,茨城,常陸大宮,544063,91,3114,3965103
水戸,茨城,常陸太田,544064,115,2681,4223449
水戸,茨城,日立南部,544065,187,15556,74153998
水戸,栃木,仁井田,544070,40,1378,560566
水戸,栃木,烏山,544071,65,1606,1223118
水戸,茨城,上小瀬,544072,22,344,59014
水戸,茨城,山方,544073,32,401,84024
水戸,茨城,町屋,544074,16,214,113374
水戸,茨城,日立,544075,153,9764,59797631
浜田,島根,宇津川,523200,1,8,0
浜田,広島,臥龍山,523201,1,26,0
浜田,広島,大仙原,523202,2,22,0
浜田,広島,志路原,523203,4,88,0
浜田,広島,八重,523204,30,1778,4679173
浜田,広島,安芸横田,523205,19,864,829616
浜田,広島,甲立,523206,19,570,264349
浜田,広島,吉舎,523207,13,431,187833
浜田,島根,木都賀,523210,9,73,0
浜田,島根,波佐,523211,2,20,0
浜田,広島,大朝,523213,9,230,134728
浜田,広島,生田,523214,2,13,0
浜田,広島,前川,523215,8,149,0
浜田,広島,三次,523216,26,797,367755
浜田,広島,三良坂,523217,35,2442,5175983
浜田,島根,浜田,523220,86,2127,1963138
浜田,島根,石見今福,523221,13,216,0
浜田,島根,石見今市,523222,3,22,0
浜田,島根,矢上,523223,15,197,675480
浜田,島根,出羽,523224,9,143,0
浜田,広島,口羽町,523225,1,24,0
浜田,広島,上布野,523226,8,109,0
浜田,広島,永田,523227,11,324,44110
浜田,島根,下府,523230,10,124,56255
浜田,島根,都野津,523231,29,609,631948
浜田,島根,川戸,523232,7,140,0
浜田,島根,川本,523233,5,63,0
浜田,島根,木路原,523234,1,6,0
浜田,島根,赤名,523235,2,21,0
浜田,広島,櫃田,523236,1,4,0
浜田,島根,江津,523241,10,380,288853
浜田,島根,浅利,523242,18,454,357246
浜田,島根,大家,523243,3,110,0
浜田,島根,石見小原,523244,13,127,24677
浜田,島根,野萱,523245,8,143,0
浜田,島根,頓原,523246,6,76,0
浜田,広島,比婆新市,523247,5,32,0
浜田,島根,温泉津,523252,2,11,0
浜田,島根,仁万,523253,20,605,117823
浜田,島根,三瓶山西部,523254,2,37,0
浜田,島根,三瓶山東部,523255,2,24,0
浜田,島根,出雲吉田,523256,2,33,0
浜田,島根,阿井町,523257,5,104,21161
浜田,島根,大浦,523263,20,640,656119
浜田,島根,石見大田,523264,36,973,160718
浜田,島根,反辺,523265,6,162,0
浜田,島根,掛合,523266,12,592,70830
浜田,島根,湯村,523267,9,169,61789
浜田,島根,田儀,523274,5,182,79886
浜田,島根,神西湖,523275,28,432,281039
浜田,島根,稗原,523276,8,212,0
浜田,島根,木次,523277,64,2156,5156278
浦河,北海道,浦河,634216,6,82,0
浦河,北海道,様似,634217,17,225,722782
浦河,北海道,三石,634224,4,39,0
浦河,北海道,荻伏,634225,10,123,0
浦河,北海道,西舎,634226,10,102,77180
浦河,北海道,東静内,634232,1,18,0
浦河,北海道,東静内,634233,7,57,20490
浦河,北海道,富沢,634234,1,7,0
浦河,北海道,歌笛,634235,1,20,0
浦河,北海道,静内,634242,11,182,100658
浦河,北海道,御園,634243,6,79,42442
浦河,北海道,門別,634250,6,47,0
浦河,北海道,厚賀,634251,4,103,0
浦河,北海道,富川,634260,7,202,0
浦河,北海道,平取,634271,2,26,0
深浦,秋田,戸賀,603905,1,13,0
深浦,unknown_prefecture,unknown_name,603907,6,108,0
深浦,秋田,森岳,603917,2,14,0
深浦,秋田,岩館,603947,3,31,0
深浦,青森,大間越,603957,1,50,0
深浦,青森,十二湖,603967,1,4,0
深浦,青森,深浦,603977,3,31,0
渡島大島,北海道,江良,623927,1,51,0
渡島大島,北海道,原口,623937,1,51,0
熊本,長崎,肥前小浜,493001,21,304,57289
熊本,長崎,雲仙,493002,80,608,120905
熊本,熊本,網津,493004,16,554,659352
熊本,熊本,宇土,493005,114,5815,11455355
熊本,熊本,御船,493006,60,2210,6533520
熊本,unknown_prefecture,unknown_name,493007,15,363,384930
熊本,長崎,諌早南部,493010,85,6290,29991268
熊本,長崎,愛野,493011,15,558,0
熊本,長崎,島原,493012,55,1337,952830
熊本,長崎,島原,493013,8,190,48078
熊本,熊本,肥後船津,493014,5,46,0
熊本,熊本,熊本,493015,217,4236,5904924
熊本,熊本,健軍,493016,132,4836,6060955
熊本,熊本,大矢野原,493017,16,304,337501
熊本,長崎,諌早,493020,87,1938,2248390
熊本,長崎,湯江,493021,30,996,276253
熊本,長崎,多比良,493022,47,1217,905294
熊本,熊本,下沖洲,493023,28,3165,17557998
熊本,熊本,伊倉,493024,30,892,1391578
熊本,熊本,植木,493025,88,5832,6109498
熊本,熊本,肥後大津,493026,146,14651,28814425
熊本,熊本,立野,493027,56,3878,10875222
熊本,長崎,多良岳,493030,2,145,0
熊本,佐賀,肥前大浦,493031,10,784,0
熊本,熊本,荒尾,493033,67,2662,2465586
熊本,熊本,玉名,493034,59,2591,1908113
熊本,熊本,来民,493035,63,2912,3376544
熊本,熊本,菊池,493036,80,4904,3753807
熊本,熊本,鞍岳,493037,3,126,0
熊本,佐賀,古枝,493040,20,279,37827
熊本,佐賀,多良,493041,12,187,0
熊本,福岡,大牟田,493043,155,6742,24479964
熊本,熊本,関町,493044,49,2576,1495066
熊本,熊本,山鹿,493045,47,2696,7989969
熊本,熊本,八方ヶ岳,493046,11,178,0
熊本,熊本,立門,493047,2,22,0
熊本,佐賀,鹿島,493050,96,3412,5834941
熊本,佐賀,牛屋,493051,3,124,0
熊本,佐賀,佐賀空港,493052,7,86,88087
熊本,福岡,柳川,493053,155,3278,4178745
熊本,福岡,野町,493054,22,394,280177
熊本,熊本,高井川,493055,10,174,0
熊本,福岡,宮ノ尾,493056,9,87,0
熊本,大分,鯛生,493057,7,99,0
熊本,佐賀,武雄,493060,60,3844,5676327
熊本,佐賀,牛津,493061,56,2172,4816693
熊本,佐賀,佐賀南部,493062,221,3796,5391540
熊本,福岡,羽犬塚,493063,421,7660,11610313
熊本,福岡,八女,493064,275,7104,15457820
熊本,福岡,黒木,493065,27,268,337382
熊本,福岡,十籠,493066,5,61,0
熊本,大分,豊後大野,493067,11,97,15330
熊本,佐賀,多久,493070,31,1101,395548
熊本,佐賀,小城,493071,57,2388,1933755
熊本,佐賀,佐賀北部,493072,177,8099,13302242
熊本,佐賀,久留米西部,493073,228,6785,12759174
熊本,福岡,久留米,493074,263,8806,16993301
熊本,福岡,草野,493075,6,329,0
熊本,福岡,千足,493076,18,261,433918
熊本,大分,日田,493077,155,3042,4100335
甑島,鹿児島,手打,472935,2,22,0
甑島,鹿児島,青瀬,472945,2,13,0
甑島,鹿児島,海鼠池,472966,1,6,0
甑島,unknown_prefecture,unknown_name,472967,4,48,0
田辺,和歌山,田並,503515,1,6,0
田辺,和歌山,串本,503516,17,201,115531
田辺,和歌山,紀伊日置,503523,12,177,256384
田辺,和歌山,江住,503524,5,69,0
田辺,和歌山,三尾川,503525,1,9,0
田辺,和歌山,古座,503526,11,103,23335
田辺,和歌山,下里,503527,5,35,0
田辺,和歌山,富田,503533,8,391,0
田辺,和歌山,市鹿野,503534,1,10,0
田辺,和歌山,下露,503535,1,17,0
田辺,和歌山,紀伊勝浦,503537,21,292,169322
田辺,和歌山,紀伊白浜,503542,41,602,530223
田辺,和歌山,紀伊田辺,503543,116,2583,2441886
田辺,和歌山,合川,503544,3,22,0
田辺,和歌山,新宮,503547,33,556,531153
田辺,和歌山,印南,503551,16,450,380523
田辺,和歌山,紀伊南部,503552,84,1825,2501870
田辺,和歌山,秋津川,503553,18,230,113672
田辺,和歌山,栗栖川,503554,9,94,0
田辺,三重,大里,503557,3,61,0
田辺,和歌山,三尾,503560,1,5,0
田辺,和歌山,御坊,503561,81,1776,1352649
田辺,和歌山,古井,503562,4,99,0
田辺,和歌山,西,503563,9,150,0
田辺,和歌山,伏拝,503566,2,19,0
田辺,三重,瀞八丁,503567,2,21,0
田辺,和歌山,紀伊由良,503570,16,513,579983
田辺,和歌山,高家,503571,31,780,650305
田辺,和歌山,川原河,503572,6,65,0
田辺,和歌山,寒川(和歌山),503573,3,127,0
田辺,和歌山,龍神,503574,1,5,0
田辺,奈良,重里,503575,1,9,0
田辺,奈良,十津川温泉,503576,1,4,0
田辺,奈良,大沼,503577,2,21,0
甲府,山梨,身延,533803,13,414,806609
甲府,静岡,人穴,533804,9,113,0
甲府,静岡,須走,533806,3,60,0
甲府,静岡,駿河小山,533807,47,2295,7656117
甲府,山梨,切石,533813,38,832,877246
甲府,山梨,精進,533814,4,36,0
甲府,山梨,鳴沢,533815,28,1672,7352918
甲府,山梨,富士吉田,533816,225,7451,33496689
甲府,山梨,御正体山,533817,9,99,55510
甲府,長野,信濃大河原,533820,4,50,0
甲府,山梨,鰍沢,533823,87,4612,9808366
甲府,山梨,市川大門,533824,34,956,1248161
甲府,山梨,河口湖西部,533825,2,26,0
甲府,山梨,河口湖東部,533826,83,1710,4946294
甲府,山梨,都留,533827,141,2954,4272899
甲府,長野,鹿塩,533830,1,11,0
甲府,山梨,小笠原,533833,116,4460,5881747
甲府,山梨,甲府,533834,498,23355,67900260
甲府,山梨,石和,533835,113,3619,4287048
甲府,山梨,笹子,533836,10,165,162377
甲府,山梨,大月,533837,69,1440,1571188
甲府,長野,市野瀬,533840,2,12,0
甲府,山梨,韮崎,533843,128,7337,32782756
甲府,山梨,甲府北部,533844,52,965,1251460
甲府,山梨,塩山,533845,108,2325,3493945
甲府,山梨,大菩薩峠,533846,6,66,37330
甲府,山梨,七保,533847,4,40,0
甲府,unknown_prefecture,unknown_name,533850,17,478,348322
甲府,山梨,長坂上条,533852,29,794,248945
甲府,山梨,若神子,533853,67,2465,5046034
甲府,unknown_prefecture,unknown_name,533855,1,9,0
甲府,山梨,丹波,533857,2,28,0
甲府,長野,高遠,533860,20,917,951478
甲府,長野,信濃富士見,533861,39,650,799325
甲府,山梨,小淵沢,533862,38,1474,2583470
甲府,山梨,谷戸,533863,20,622,0
甲府,長野,辰野,533870,33,539,689572
甲府,長野,茅野,533871,155,7056,13696160
甲府,長野,八ヶ岳西部,533872,18,604,1384878
甲府,長野,八ヶ岳東部,533873,1,51,0
甲府,unknown_prefecture,unknown_name,533874,5,39,0
甲府,unknown_prefecture,unknown_name,533875,1,6,0
甲府,埼玉,三峰,533877,7,171,0
男鹿,秋田,船川,593966,18,404,341334
男鹿,秋田,船越,593967,19,582,88460
男鹿,秋田,戸賀,593975,1,22,0
男鹿,秋田,北浦,593976,5,81,6025
男鹿,秋田,寒風山,593977,3,80,0
留萌,北海道,厚田,654103,1,7,0
留萌,北海道,月形,654105,4,62,0
留萌,北海道,晩生内,654106,4,37,0
留萌,北海道,茶志内,654107,25,389,865937
留萌,北海道,浦臼,654116,3,24,0
留萌,北海道,砂川,654117,37,1584,2695755
留萌,北海道,柏木,654123,1,4,0
留萌,北海道,総進,654126,1,4,0
留萌,北海道,滝川,654127,36,827,231028
留萌,北海道,江部乙,654137,12,152,562465
留萌,北海道,雄冬,654143,1,38,0
留萌,北海道,妹背牛,654147,9,271,402652
留萌,北海道,暑寒沢,654154,1,9,0
留萌,北海道,石狩沼田,654157,13,142,111790
留萌,北海道,増毛,654164,13,530,883550
留萌,北海道,幌糠,654166,1,7,0
留萌,北海道,留萌,654175,25,1026,471857
白河,栃木,喜連川,554000,60,1503,1043471
白河,栃木,馬頭,554001,47,1432,429725
白河,茨城,常陸大沢,554002,2,8,0
白河,茨城,大中宿,554003,24,642,68663
白河,茨城,竪破山,554004,5,72,42960
白河,茨城,高萩,554005,87,4427,16045201
白河,栃木,佐久山,554010,28,1286,11519
白河,栃木,下野小川,554011,29,443,430900
白河,茨城,大子,554012,36,952,494768
白河,茨城,袋田,554013,6,96,0
白河,茨城,里美牧場,554014,1,8,0
白河,茨城,磯原,554015,82,3742,12787289
白河,茨城,大津,554016,36,1349,2635703
白河,栃木,大田原,554020,102,4636,4400496
白河,栃木,黒羽田町,554021,12,287,0
白河,福島,東舘,554023,17,1201,206688
白河,茨城,川部,554025,28,755,1628068
白河,福島,勿来,554026,79,2717,1691966
白河,栃木,黒磯,554030,114,6003,11566889
白河,栃木,伊王野,554031,14,208,23638
白河,福島,八溝山,554032,1,10,0
白河,福島,塙,554033,47,989,1046423
白河,福島,橋場,554034,1,54,0
白河,福島,上平石,554035,10,412,0
白河,福島,磐城泉,554036,121,5386,16933244
白河,福島,小名浜,554037,137,4640,19969094
白河,unknown_prefecture,unknown_name,554040,30,724,512057
白河,栃木,旗宿,554041,13,380,433325
白河,福島,磐城金山,554042,30,1412,372692
白河,福島,棚倉,554043,67,2601,2895934
白河,福島,磐城新宿,554044,13,238,0
白河,福島,上遠野,554045,11,231,82068
白河,福島,常磐湯本,554046,127,7231,27334758
白河,福島,平,554047,112,2566,2599933
白河,栃木,那須湯本,554050,3,49,0
白河,福島,白河,554051,118,5955,10149492
白河,福島,泉崎,554052,95,5561,17539883
白河,福島,磐城石川,554053,62,1433,1025990
白河,福島,竹貫,554054,25,761,499362
白河,福島,下市萱,554055,3,38,0
白河,福島,水石山,554056,17,261,159099
白河,福島,四倉,554057,29,554,430650
白河,福島,新甲子,554060,1,4,0
白河,福島,上小屋,554061,4,145,0
白河,福島,矢吹,554062,110,4642,6161533
白河,福島,母畑,554063,80,3800,7690030
白河,福島,上蓬田,554064,24,578,294594
白河,福島,上三坂,554065,6,513,363465
白河,福島,川前,554066,1,56,0
白河,福島,上浅見川,554067,29,1094,2574936
白河,福島,岩代長沼,554071,16,253,0
白河,福島,須賀川西部,554072,135,5047,10682608
白河,福島,須賀川東部,554073,37,1595,1301640
白河,福島,田母神,554074,17,350,62734
白河,福島,小野新町,554075,36,1560,1249679
白河,unknown_prefecture,unknown_name,554077,6,164,0
盛岡,岩手,花巻,594100,96,2671,2434633
盛岡,岩手,土沢,594101,60,4089,10745316
盛岡,岩手,宮守,594102,9,257,0
盛岡,岩手,上宮守,594103,1,29,0
盛岡,岩手,土淵,594104,14,652,381988
盛岡,岩手,橋野,594106,3,20,0
盛岡,岩手,大槌,594107,36,1150,1027415
盛岡,unknown_prefecture,unknown_name,594110,33,2345,7517941
盛岡,岩手,石鳥谷,594111,39,1218,1130442
盛岡,岩手,大迫,594112,12,215,202688
盛岡,岩手,竪沢,594113,1,4,0
盛岡,岩手,陸中山田,594117,27,618,281242
盛岡,岩手,志和,594120,12,135,94205
盛岡,岩手,日詰,594121,38,1841,2759296
盛岡,岩手,江繋,594125,2,72,0
盛岡,岩手,津軽石,594127,27,1241,897049
盛岡,岩手,南昌山,594130,19,961,1399339
盛岡,岩手,矢幅,594131,45,1783,1955157
盛岡,岩手,陸中川内,594134,3,62,0
盛岡,岩手,陸中川井,594135,4,57,0
盛岡,岩手,茂市,594136,6,245,0
盛岡,岩手,宮古,594137,83,1874,1985855
盛岡,岩手,小岩井農場,594140,58,2577,1131280
盛岡,岩手,盛岡,594141,86,1573,1175797
盛岡,岩手,和井内,594145,1,8,0
盛岡,岩手,田老,594147,11,246,113427
盛岡,岩手,姥屋敷,594150,18,863,56479
盛岡,岩手,鷹高,594151,23,1637,2053444
盛岡,岩手,陸中大川,594155,7,80,69097
盛岡,岩手,有芸,594156,1,23,0
盛岡,岩手,田老鉱山,594157,1,10,0
盛岡,岩手,大更,594160,35,1420,542569
盛岡,岩手,渋民,594161,15,599,433718
盛岡,岩手,門,594165,8,100,0
盛岡,岩手,岩泉,594166,8,143,0
盛岡,岩手,小本,594167,7,381,0
盛岡,岩手,平館,594170,12,303,0
盛岡,岩手,沼宮内,594171,21,1047,13964
盛岡,岩手,陸中北山形,594172,1,19,0
盛岡,岩手,小屋瀬,594173,1,30,0
盛岡,岩手,沼袋,594176,1,10,0
盛岡,岩手,田野畑,594177,5,55,0
相川,新潟,相川,573801,4,31,0
相川,新潟,相川,573802,16,224,156865
相川,新潟,両津,573803,37,371,191253
相川,新潟,両津北部,573813,2,68,0
相川,新潟,北田野浦,573822,1,7,0
知床岬,北海道,知床峠,664500,1,11,0
知床岬,北海道,羅臼,664501,2,19,0
知床岬,北海道,硫黄山,664511,1,28,0
石垣島,沖縄,波照間島,362306,2,25,0
石垣島,沖縄,小浜島/西表大原,362337,2,17,0
石垣島,沖縄,美原/船浦,362346,1,4,0
石垣島,沖縄,小浜島/美原,362347,1,8,0
石垣島,沖縄,与那国島,362350,4,31,29557
石巻,宮城,塩竃,574130,229,7864,19893055
石巻,宮城,網地島,574133,3,76,0
石巻,unknown_prefecture,unknown_name,574134,1,4,0
石巻,宮城,松島,574140,27,1070,1162841
石巻,宮城,小野,574141,21,444,368847
石巻,宮城,渡波,574142,141,3958,12704727
石巻,宮城,荻浜,574143,6,79,65908
石巻,宮城,寄磯,574144,1,27,0
石巻,宮城,鹿島台,574150,21,587,296573
石巻,宮城,広淵,574151,60,1449,706886
石巻,宮城,石巻,574152,144,4581,18459924
石巻,宮城,女川,574153,62,1439,2914765
石巻,宮城,小牛田,574160,55,1319,1436617
石巻,宮城,涌谷,574161,55,2331,4247361
石巻,宮城,飯野川,574162,34,801,361550
石巻,宮城,雄勝,574163,12,115,62886
石巻,宮城,大須,574164,3,25,0
石巻,宮城,高清水,574170,44,1665,2331871
石巻,宮城,西野,574171,21,541,812150
石巻,宮城,登米,574172,36,1051,4963022
石巻,宮城,折立,574173,8,201,238322
石巻,宮城,陸前相川,574174,11,77,68888
福岡,佐賀,相知,503000,17,593,53546
福岡,佐賀,古湯,503001,11,139,248822
福岡,佐賀,広滝,503002,15,236,0
福岡,佐賀,中原,503003,81,5563,15758290
福岡,福岡,鳥栖,503004,189,11647,31716803
福岡,福岡,田主丸,503005,128,5298,18939592
福岡,福岡,吉井,503006,57,1654,2159515
福岡,大分,大行司,503007,51,844,410102
福岡,unknown_prefecture,unknown_name,503010,15,401,122834
福岡,佐賀,雷山,503011,3,66,0
福岡,福岡,脊振山,503012,9,77,0
福岡,福岡,不入道,503013,21,255,153270
福岡,福岡,二日市,503014,106,3719,42418036
福岡,福岡,甘木,503015,37,1072,786136
福岡,福岡,小石原,503016,17,84,28099
福岡,大分,英彦山,503017,4,52,0
福岡,福岡,芥屋,503020,1,29,0
福岡,福岡,前原,503021,68,2041,686137
福岡,福岡,福岡西南部,503022,99,3163,10098942
福岡,福岡,福岡南部,503023,598,13708,26337976
福岡,福岡,太宰府,503024,169,3679,6108495
福岡,福岡,大隈,503025,54,1318,1802651
福岡,福岡,筑前山田,503026,33,573,538456
福岡,福岡,伊良原,503027,2,23,0
福岡,福岡,宮浦,503031,21,352,231375
福岡,福岡,福岡西部,503032,18,215,33244
福岡,福岡,福岡,503033,493,11549,27462797
福岡,福岡,篠栗,503034,76,2002,3938581
福岡,福岡,飯塚,503035,176,6374,12935265
福岡,福岡,田川,503036,93,3104,2838934
福岡,福岡,豊前本庄,503037,13,627,10494
福岡,福岡,古賀,503043,187,12666,27797120
福岡,福岡,脇田,503044,38,1692,3339818
福岡,福岡,直方,503045,155,6825,10291180
福岡,福岡,金田,503046,62,2594,5339649
福岡,福岡,行橋,503047,98,5394,9877921
福岡,福岡,津屋崎,503053,19,646,954036
福岡,福岡,筑前東郷,503054,43,2123,2612442
福岡,福岡,中間,503055,198,12844,10451423
福岡,福岡,徳力,503056,70,1928,2969773
福岡,福岡,苅田,503057,129,12273,129538009
福岡,福岡,神湊,503063,2,11,0
福岡,福岡,吉木,503064,22,325,90404
福岡,福岡,折尾,503065,212,6650,11487029
福岡,福岡,八幡,503066,483,25746,144179049
福岡,福岡,小倉,503067,289,10807,16532493
福岡,福岡,岩屋,503075,1,7,0
福岡,福岡,六連島,503076,64,3257,16329423
福岡,山口,下関,503077,249,8243,29788606
福島,福島,岩代福良,564000,6,85,0
福島,福島,岩代中野,564001,4,61,0
福島,福島,郡山西部,564002,110,3043,2604912
福島,福島,郡山,564003,180,8298,32882680
福島,福島,柳橋,564004,21,632,451279
福島,福島,上大越,564005,15,335,138146
福島,unknown_prefecture,unknown_name,564006,4,46,0
福島,unknown_prefecture,unknown_name,564007,4,41,0
福島,福島,山潟,564011,2,12,0
福島,福島,磐梯熱海,564012,88,5431,25679339
福島,福島,三春,564013,131,6827,33006729
福島,unknown_prefecture,unknown_name,564014,47,2707,3308439
福島,unknown_prefecture,unknown_name,564015,15,639,565346
福島,unknown_prefecture,unknown_name,564016,6,84,0
福島,unknown_prefecture,unknown_name,564017,23,586,589556
福島,福島,猪苗代,564020,18,349,28715
福島,福島,関都,564021,7,146,0
福島,福島,玉井,564022,7,181,115935
福島,福島,岩代本宮,564023,116,6371,16497312
福島,unknown_prefecture,unknown_name,564024,20,914,1760192
福島,unknown_prefecture,unknown_name,564025,9,141,0
福島,unknown_prefecture,unknown_name,564026,3,31,0
福島,unknown_prefecture,unknown_name,564027,28,1167,122296
福島,福島,磐梯山,564030,1,9,0
福島,福島,中ノ沢,564031,7,85,17446
福島,福島,安達太良山,564032,1,11,0
福島,福島,二本松,564033,91,3166,4272748
福島,unknown_prefecture,unknown_name,564034,75,1956,3290689
福島,unknown_prefecture,unknown_name,564035,9,468,0
福島,unknown_prefecture,unknown_name,564036,1,13,0
福島,unknown_prefecture,unknown_name,564037,106,2871,3520727
福島,福島,土湯温泉,564042,6,58,0
福島,福島,福島南部,564043,117,9206,47350109
福島,unknown_prefecture,unknown_name,564044,43,881,400396
福島,unknown_prefecture,unknown_name,564045,3,78,0
福島,unknown_prefecture,unknown_name,564046,8,328,321098
福島,unknown_prefecture,unknown_name,564047,46,1225,798498
福島,福島,板谷,564052,2,36,0
福島,福島,福島北部,564053,160,5034,4502794
福島,福島,保原,564054,126,5664,18115717
福島,福島,霊山,564055,9,244,0
福島,福島,青葉,564056,1,5,0
福島,福島,相馬中村,564057,73,3349,10923536
福島,山形,米沢,564060,101,1737,1130063
福島,山形,米沢東部,564061,103,6585,45383452
福島,福島,栗子山,564062,1,5,0
福島,福島,桑折,564064,90,4026,6255148
福島,宮城,舟生,564065,5,56,0
福島,宮城,丸森,564066,27,1016,3610027
福島,福島,新地,564067,40,1047,547956
福島,山形,米沢北部,564070,49,1862,1259645
福島,山形,糠野目,564071,97,5782,37338484
福島,宮城,関,564073,2,125,0
福島,宮城,白石南部,564074,12,413,73825
福島,宮城,白石東南部,564075,20,1803,5470132
福島,宮城,角田,564076,69,5093,8907490
福島,宮城,山下,564077,25,911,23119
福江,長崎,三井楽,492805,6,133,0
福江,長崎,五島福江,492806,19,250,113600
福江,長崎,岐宿,492816,2,21,0
福江,長崎,浦,492817,3,18,0
福江,unknown_prefecture,unknown_name,492827,1,6,0
秋田,unknown_prefecture,unknown_name,594000,76,4249,3620049
秋田,秋田,岩野目沢,594001,4,43,20445
秋田,unknown_prefecture,unknown_name,594002,1,6,0
秋田,秋田,角間川,594003,33,1260,99029
秋田,秋田,金沢本町,594004,38,2331,1483665
秋田,岩手,左草,594005,1,6,0
秋田,岩手,新町,594006,2,35,0
秋田,岩手,尻平川,594007,1,10,0
秋田,秋田,岩谷,594010,16,516,27898
秋田,秋田,新沢,594011,6,231,0
秋田,unknown_prefecture,unknown_name,594012,7,134,0
秋田,秋田,大曲,594013,81,2174,1744715
秋田,秋田,六郷,594014,58,1964,1274435
秋田,秋田,真昼岳,594015,1,78,0
秋田,岩手,陸中猿橋,594016,5,104,35278
秋田,秋田,内道川,594020,7,269,0
秋田,秋田,新波,594021,4,42,0
秋田,unknown_prefecture,unknown_name,594022,8,203,0
秋田,unknown_prefecture,unknown_name,594023,19,661,227260
秋田,unknown_prefecture,unknown_name,594024,46,915,219105
秋田,秋田,大神成,594025,4,32,0
秋田,岩手,北川舟,594026,2,37,0
秋田,秋田,羽川,594030,8,233,619775
秋田,秋田,羽後和田,594031,32,2459,1822816
秋田,unknown_prefecture,unknown_name,594032,12,323,202447
秋田,unknown_prefecture,unknown_name,594033,4,31,18294
秋田,unknown_prefecture,unknown_name,594034,34,825,359796
秋田,unknown_prefecture,unknown_name,594035,4,139,0
秋田,岩手,鶯宿,594037,3,48,0
秋田,秋田,秋田西部,594040,187,6534,15240397
秋田,秋田,秋田東部,594041,27,408,56286
秋田,秋田,岩見三内,594042,2,12,0
秋田,秋田,下桧木内,594044,3,33,0
秋田,秋田,田沢湖,594045,12,425,0
秋田,岩手,雫石,594047,14,257,0
秋田,秋田,土崎,594050,41,1732,4194958
秋田,秋田,松原,594051,1,10,0
秋田,秋田,上桧木内,594054,2,14,0
秋田,岩手,篠崎,594057,3,57,0
秋田,秋田,大久保,594060,39,1754,2027538
秋田,秋田,蓬内台,594061,2,16,0
秋田,秋田,比立内,594063,2,17,0
秋田,秋田,五城目,594070,22,564,163295
秋田,秋田,湯ノ又,594071,12,404,206395
秋田,秋田,阿仁合,594073,2,28,0
秋田,岩手,茶臼岳,594077,1,46,0
稚内,unknown_prefecture,unknown_name,684100,3,27,0
稚内,北海道,稚内,684105,54,1141,2669349
稚内,北海道,声問,684106,7,109,69874
稚内,unknown_prefecture,unknown_name,684110,2,55,0
稚内,北海道,野寒布岬,684115,18,396,156542
稚内,北海道,宗谷,684117,1,22,0
稚内,北海道,宗谷岬,684127,4,78,0
窪川,高知,土佐中村,493330,2,20,0
窪川,unknown_prefecture,unknown_name,493340,16,256,213497
窪川,unknown_prefecture,unknown_name,493350,2,18,0
窪川,unknown_prefecture,unknown_name,493351,3,56,0
